Type,Title,Abstract,Authors,Keywords,DOI,Publication Date,Pages
article,Higher Education Check-Ins: Exploring the User Experience of Hybrid Location Sensing,"A large body of literature is dedicated to understanding people's check-in behavior when they use location sharing services to pair their location with a venue, e.g., a restaurant, a park, etc. Check-in behavior in higher education settings, e.g., where students and instructors have academic purposes for check-ins, is under-studied. In this work, we explore how university students apply two different mechanisms, i.e., automatic and manual location-sharing services, to conduct check-ins for an academic purpose (i.e., students sharing their class attendance with their instructor). More specifically, a Bluetooth Low Energy beacon-based technology is applied to enable automatic class check-ins. We conducted two field trials with a total of 141 university students. Our findings showed that several social, technological, and psychological factors impacted the use of auto and manual check-ins. Feedback from the student participants suggested that future higher education check-in systems may need to consider the integration of check-ins for a variety of purposes.","Huang, Yun and Sang, Yisi and Wu, Qunfang and Yao, Yaxing","hybrid sensing, check-ins, location sharing, bluetooth low energy beacon, automatic location sensing",10.1145/3359168,2019,26
inproceedings,Familiarizing Children with Artificial Intelligence,"Recently, children's Artificial Intelligence (AI) literacy has gained interest due to AI penetrating our daily lives more widely. This paper illustrates findings from an empirical study with the purpose of familiarizing two classes of 11-12-year-old children (N=37) with central concepts related to AI, using existing material with modifications. During the sessions, children experimented with creative and hands-on Machine Learning activities, encouraging reflection around AI and the role of technology in everyday life. Children were asked about their views of AI first, and after that the concept was explained to them. Findings of the study suggest that some children's opinion about AI was changed after they were engaged in the learning activities. Observations also suggest that children seemed to learn more easily through hands-on activities and by listening to stories.","Khalid, Kashifa and Iivari, Netta and Kinnula, Marianne and Sharma, Sumita",,10.1145/3569219.3569390,2022,5
inproceedings,Artificial Intelligence and Auction Design,"Motivated by online advertising auctions, we study auction design in repeated auctions played by simple Artificial Intelligence algorithms (Q-learning). We find that first-price auctions with no additional feedback lead to tacit-collusive outcomes (bids lower than values), while second-price auctions do not. We show that the difference is driven by the incentive in first-price auctions to outbid opponents by just one bid increment. This facilitates re-coordination on low bids after a phase of experimentation. We also show that providing information about the lowest bid to win, as introduced by Google at the time of the switch to first-price auctions, increases competitiveness of auctions.","Banchio, Martino and Skrzypacz, Andrzej","auction design, algorithmic bidding, Q-learning",10.1145/3490486.3538244,2022,2
inproceedings,A is for Artificial Intelligence: The Impact of Artificial Intelligence Activities on Young Children's Perceptions of Robots,"We developed a novel early childhood artificial intelligence (AI) platform, PopBots, where preschool children train and interact with social robots to learn three AI concepts: knowledge-based systems, supervised machine learning, and generative AI. We evaluated how much children learned by using AI assessments we developed for each activity. The median score on the cumulative assessment was 70% and children understood knowledge-based systems the best. Then, we analyzed the impact of the activities on children's perceptions of robots. Younger children came to see robots as toys that were smarter than them, but their older counterparts saw them more as people that were not as smart as them. Children who performed worse on the AI assessments believed that robots were like toys that were not as smart as them, however children who did better on the assessments saw robots as people who were smarter than them. We believe early AI education can empower children to understand the AI devices that are increasingly in their lives.","Williams, Randi and Park, Hae Won and Breazeal, Cynthia","child-robot interaction, ai education, social robots, early childhood education",10.1145/3290605.3300677,2019,11
inproceedings,Smart Learning and Fourth Industrial Age Effects on Higher Education,"The shift toward e-learning is imminent. The world is heading to the fourth industrial age. What are the implications of the fourth industrial age on higher education? What can a trend such as artificial intelligence contribute to education? Can Blockchain technology play part in opening a new education model? Can credentials be awarded and granted online? Experts believe that market forces will push higher education institutes to expand online education. More hybrid learning spaces will be created and different degrees awarded, and curricula structures will be created in the few coming years. However, how will this affect the education, for the better or for the worse? We have investigated this major question through extensive research within available literature and through personal encounters with many stakeholders. What are the implications of the fourth industrial age on education? That would be a major question to answer.","Abu Zitar, Raed","Machine Learning, Blockchain, 4th Industrial revolution, Artificial intelligence",10.1145/3498765.3498805,2022,6
inproceedings,Students’ Conceptions of Artificial Intelligence,"The topic of AI is becoming increasingly popular in schools. In order to sustainably embed this in the curriculum, researching students’ perspectives as an elementary component of a didactic framework is essential. We explored students’ conceptions of AI to show how these can have a benefit for learning and teaching AI in CSEd.","Kreinsen, Moritz and Schulz, Sandra","computer science education, artificial intelligence, students’ conceptions",10.1145/3481312.3481328,2021,2
article,Artificial Intelligence in 2027,"Every day we read in the scientific and popular press about advances in AI and how AI is changing our lives. Things are moving at a fast pace, with no obvious end in sight.","Gini, Maria and Agmon, Noa and Giunchiglia, Fausto and Koenig, Sven and Leyton-Brown, Kevin",,10.1145/3203247.3203251,2018,11
article,Trustworthy Artificial Intelligence: A Review,"Artificial intelligence (AI) and algorithmic decision making are having a profound impact on our daily lives. These systems are vastly used in different high-stakes applications like healthcare, business, government, education, and justice, moving us toward a more algorithmic society. However, despite so many advantages of these systems, they sometimes directly or indirectly cause harm to the users and society. Therefore, it has become essential to make these systems safe, reliable, and trustworthy. Several requirements, such as fairness, explainability, accountability, reliability, and acceptance, have been proposed in this direction to make these systems trustworthy. This survey analyzes all of these different requirements through the lens of the literature. It provides an overview of different approaches that can help mitigate AI risks and increase trust and acceptance of the systems by utilizing the users and society. It also discusses existing strategies for validating and verifying these systems and the current standardization efforts for trustworthy AI. Finally, we present a holistic view of the recent advancements in trustworthy AI to help the interested researchers grasp the crucial facets of the topic efficiently and offer possible future research directions.","Kaur, Davinder and Uslu, Suleyman and Rittichier, Kaley J. and Durresi, Arjan","privacy, accountability, explainability, fairness, explainable AI, trustworthy AI, black-box problem, machine learning, acceptance, Artificial intelligence",10.1145/3491209,2022,38
inproceedings,Artificial Intelligence and Application in Finance,"Today, the sheer volume of data generated by humans and computers far exceeds the range of capabilities that humans can absorb, interpret and follow on complex decisions. Computers can calculate the permutation and combination of these moves extremely efficiently and get the best countermeasures. The paper introduces the history and development of Artificial Intelligence with the application of specific field, Machine Learning. With the introduction of Machine Learning, the paper experiments the influence of variables like consumption, and government spending on Gross Domestic Product (GDP). The results meets the economic and statistical theories.","Zhang, Mengyuan","Regression, financial market, Application, Artificial Intelligence, Machine learning",10.1145/3377571.3379441,2020,6
inproceedings,Artificial Intelligence and Its Self-Consciousness,"Recently, the question of whether machine can have its “self-consciousness” has become a focus being concerned and thought of. e Researches on machine consciousness or artificial consciousness, has gradually become a hot spot in the field of artificial intelligence (AI). With the common sense of human being as the only intelligent life with “self-consciousness”, only human's self-consciousness can be taken as a model in order to build AI with self-consciousness. In this paper, the theories of self-consciousness from the perspectives of psychology, cognitive neuroscience, philosophy and cognitive science were introduced with the hope of providing new ideas for the development of AI with self-consciousness.","Lu, Hong and Hu, Weibing and Pan, Chaochao","Human-level artificial general intelligence, Artificial narrow intelligence, Self-consciousness, Artificial intelligence",10.1145/3456389.3456402,2021,3
inproceedings,Technological Achievement Index (TAI) in Higher Education- An Empirical Analysis,"The increased application of artificial intelligence along with the adoption of Learning 4.0 has created disruptions in higher education sector. In the present study we use Technology Advancement Index for data driven policy decisions.The aim of the study is to model Institution’s Technology Achievement Index in terms of three aspects namely Digital Competency of Teachers, Digital Competency of Students and Institutional Digital Preparedness. Each of these aspects was measured on a scale 0-1 with higher values indicating a positive situation for the aspect. From the survey conducted over 5081 students studying in the Colleges in Goa it was observed that there is a strong positive correlation of Technical Achievement Index with the three aspects, individually.","Amballoor, Renji George and Naik, Shankar B","Digital Competency, Digital Technology, Institutional Digital Preparedness, Analytics, Economic Development, Digital Literacy, Higher Education, Technology Achievement Index",10.1145/3488466.3488476,2022,4
article,Chips for Artificial Intelligence,Companies are racing to develop hardware that more directly empowers deep learning.,"Monroe, Don",,10.1145/3185523,2018,3
inproceedings,How Do Elementary Students Conceptualize Artificial Intelligence?,"Countries around the globe have acknowledged the pervasiveness of artificial intelligence (AI) in our lives and the importance of educating our students on how AI technologies work. For example, the Chinese education ministry has integrated AI into the mandatory high school curriculum, including a pilot textbook to teach students about the fundamental AI technologies like deep learning and recognition. However, there are fewer examples of AI education at the primary level, and these are typically focused on decision-making, machine learning, and programming. We have recently started to develop our own elementary AI curriculum. To develop the curriculum, we first needed to explore what students already knew about AI. Although there are a few small studies on how primary students conceptualize AI, we conducted a study to examine how 10 nine- and ten-year-old students conceptualized artificial intelligence by focusing on two main questions: (1) How do elementary students conceptualize artificial intelligence? (2) What are elementary students' experiences with artificial intelligence? Students? definitions of AI tended to focus on programming and robotics. Students described examples of AI that included robotic vacuums, Siri/Alexa, YouTube, and search engines. They also showcased some misconceptions around AI designs and implementations.","Ottenbreit-Leftwich, Anne and Glazewski, Krista and Jeon, Minji and Hmelo-Silver, Cindy and Mott, Bradford and Lee, Seung and Lester, James","artificial intelligence, elementary education, perceptions",10.1145/3408877.3439642,2021,1
inproceedings,Nonintrusive Accessibility in Inclusive Higher Education,"In this paper we define the concepts ""intrusive accessibility"" and ""nonintrusive accessibility"", which are the guiding principles of the latter, as the minimum and extended features that a system of nonintrusive multimedia presentation must have and propose a multimedia model. We also define levels for assessing the degree of intrusiveness or compliance with the principles of nonintrusive accessibility. The paper present the results of research carried out to assess the proposed model, the results, conclusions and future work.","Restrepo, Emmanuelle Guti\'{e}rrez y and Garc\'{\i}a, Francisco Garc\'{\i}a","search engine optimization, e-learning, nonintrusive accessibility, usability, multimedia, Accessibility",10.1145/3019943.3019961,2016,8
inproceedings,Ontology-Based Recommender System in Higher Education,"Academic advising is limited in its ability to assist students in identifying academic pathways. Selecting a major and a university is a challenging process rife with anxiety. Students at high school are not sure how to match their interests with their working future or major. Therefore, high school students need guidance and support. Moreover, students need to filter, prioritize and efficiently get appropriate information from the web in order to solve the problem of information overload. This paper represents an approach for developing ontology-based recommender system improved with machine learning techniques to orient students in higher education. The proposed recommender system is an assessment tool for students' vocational strengths and weaknesses, interests and capabilities. The main objective of our ontology-based recommender system is to identify the student requirements, interests, preferences and capabilities to recommend the appropriate major and university for each one.","Obeid, Charbel and Lahoud, Inaya and El Khoury, Hicham and Champin, Pierre-Antoine","education, recommender system, ontology-based",10.1145/3184558.3191533,2018,4
inproceedings,Artificial Intelligence for Conversational Robo-Advisor,"With the advent of the artificial intelligence (AI) era, the combination of AI with financial technology (FinTech) has become a development trend in the financial industry. However, deep learning (DL) on the application of automated financial management has been rarely investigated. Thus, this research focuses on the applications of FinTech and DL in asset allocation and aims to optimize investment portfolio. The best investment portfolio in index-based funds based on Taiwan's index-type security investment trust funds are the main investment targets. Time series models for DL, that is, long short-term memory, predict the increase of each investment target and find the best investment portfolio in combination with the relevant asset allocation theory. In this research, we use the Markowitz mean-variance and Black-Litterman models as our asset allocation models for robo-advisor. Results show that the Black-Litterman model has a better accumulated return performance than the Morkowitz model and outperforms other strategies. The Human-Computer Interaction (HCI) dialogue service adopts artificial intelligence markup language (AIML) and a generative model. The main contribution of this paper is that we have developed an integrated knowledge-based and generative-based models for AI conversational robo-advisor.","Day, Min-Yuh and Lin, Jian-Ting and Chen, Yuan-Chih","deep learning, financial technology (FinTech), artificial intelligence (AI), robo-advisor, conversational commerce",,2020,8
inproceedings,Gender Perspective in Artificial Intelligence (AI),"In Spain, the majority of university students are women, but the gender distribution in different fields of study is uneven and there are certain disciplines, as engineering and some experimental sciences where less than 30% are women. This reduced participation of women, very low in disciplines related with technology motivates the hegemonic presence of androcentric and sexist values both in knowledge and in the products and information technologies that we can find in the market.In highly masculinized disciplines the inclusion of the gender perspective is important whenever the content, the results or the applications of a subject may affect human beings directly or indirectly. Specially, in disciplines related with technology where it is very common for men and women to be affected differently by technological developments. This paper focus in the context of Artificial Intelligence (AI) field, where the majority of professionals are men and their experiences shape and dominate algorithm creation. To recognize the existence of gender discriminatory biases in the algorithms and limit their consequences in the offline world, we need to introduce the gender perspective in these studies. In this document we analyze the degree of introduction of the gender perspective in the AI grades and how to improve the gender competences of the students","Cernadas, Eva and Calvo-Iglesias, Encina","competences, Gender perspective, gender bias, artificial intelligence",10.1145/3434780.3436658,2021,4
